order_id,customer_id,order_date,status
1,17,2025-09-11 05:22:34.794592,Cancelled
2,214,2025-08-13 09:25:29.532192,Shipped
3,223,2026-07-19 18:52:33.354300,Delivered
4,464,2025-08-26 22:56:25.549595,Processing
5,63,2026-01-02 08:04:35.688387,Shipped
6,841,2025-11-15 21:39:54.159790,Delivered
7,253,2026-05-10 05:23:51.973609,Processing
8,617,2025-10-31 20:46:19.294580,Processing
9,781,2026-04-15 01:17:02.048918,Delivered
10,531,2025-10-26 00:46:16.229329,Delivered
11,997,2026-04-12 11:49:23.063670,Delivered
12,221,2025-12-22 07:34:08.420928,Shipped
13,751,2025-08-14 04:19:48.589525,Shipped
14,899,2025-12-25 11:53:10.206219,Cancelled
15,659,2026-06-22 10:33:13.003345,Delivered
16,843,2025-12-30 20:56:47.955482,Shipped
17,190,2025-09-18 12:32:56.107616,Cancelled
18,420,2025-10-20 21:19:46.137545,Cancelled
19,454,2026-07-26 03:56:38.588519,Processing
20,468,2025-11-24 08:20:25.208489,Shipped
21,863,2026-07-26 22:28:40.991781,Delivered
22,683,2025-10-19 13:26:33.291931,Processing
23,713,2025-08-28 21:11:01.337464,Shipped
24,807,2026-06-01 17:23:31.798159,Delivered
25,775,2026-06-27 05:58:14.870309,Delivered
26,697,2026-03-23 17:02:13.508282,Shipped
27,15,2026-07-21 13:14:01.868553,Delivered
28,738,2026-01-20 20:34:11.319402,Delivered
29,467,2025-08-13 01:45:30.853658,Processing
30,797,2025-08-22 04:18:24.736470,Processing
31,116,2026-07-06 01:52:42.864062,Shipped
32,765,2026-04-15 01:17:02.931310,Cancelled
33,625,2026-02-16 19:57:42.717718,Cancelled
34,425,2026-06-09 18:00:17.727266,Delivered
35,439,2025-10-21 13:03:42.458749,Delivered
36,584,2026-05-15 12:36:12.438874,Shipped
37,844,2025-10-30 19:58:28.374908,Cancelled
38,798,2026-01-02 13:27:13.462522,Delivered
39,403,2026-05-21 03:29:24.315250,Delivered
40,778,2025-11-01 11:03:19.052915,Shipped
41,843,2026-01-03 05:23:17.169521,Cancelled
42,797,2026-01-31 00:11:00.024808,Delivered
43,978,2026-03-06 20:35:42.123957,Cancelled
44,950,2025-09-14 02:19:52.860138,Cancelled
45,480,2026-06-07 16:03:18.843232,Shipped
46,965,2026-02-07 22:58:46.307971,Cancelled
47,421,2026-01-17 09:03:14.361722,Processing
48,54,2025-10-05 06:25:26.350679,Cancelled
49,46,2026-05-19 06:19:51.805192,Cancelled
50,548,2026-05-20 18:31:41.988772,Shipped
51,293,2026-02-06 07:36:16.149249,Cancelled
52,991,2025-12-07 21:18:28.873368,Processing
53,207,2025-09-21 18:31:49.970276,Delivered
54,745,2026-05-02 02:39:28.530180,Shipped
55,161,2026-07-30 00:39:31.143468,Shipped
56,60,2026-07-03 09:20:04.565994,Delivered
57,828,2025-11-02 13:34:33.848688,Cancelled
58,202,2025-08-14 05:14:54.365837,Cancelled
59,757,2026-06-21 00:09:10.000891,Processing
60,480,2026-03-03 04:24:14.242879,Processing
61,261,2025-10-15 06:39:49.404018,Delivered
62,690,2026-04-18 22:40:19.346695,Delivered
63,222,2026-06-24 11:23:11.103646,Cancelled
64,824,2026-05-19 08:50:39.437528,Cancelled
65,651,2026-03-09 00:16:22.497867,Cancelled
66,343,2025-08-08 00:38:57.739648,Processing
67,279,2026-07-26 23:34:00.003149,Delivered
68,639,2026-02-13 04:18:23.986725,Shipped
69,634,2026-07-01 00:21:59.748397,Shipped
70,681,2026-03-18 06:00:34.136908,Delivered
71,561,2025-10-13 06:09:01.264922,Shipped
72,258,2025-11-24 14:50:41.995432,Cancelled
73,878,2026-06-26 06:27:49.551406,Processing
74,209,2025-09-05 14:56:00.584207,Cancelled
75,243,2026-07-07 18:17:12.410933,Delivered
76,836,2025-12-14 00:12:33.806726,Delivered
77,834,2025-10-07 16:08:55.033926,Processing
78,507,2025-11-06 05:23:02.776488,Shipped
79,983,2025-08-08 17:50:52.086098,Delivered
80,802,2025-11-15 05:26:51.332001,Shipped
81,831,2025-10-18 00:55:21.894311,Processing
82,580,2025-11-05 15:11:57.975259,Processing
83,453,2026-04-10 06:06:08.543776,Processing
84,570,2026-05-18 07:52:32.058501,Processing
85,179,2025-12-04 16:18:42.078168,Processing
86,937,2025-12-31 04:41:14.920233,Cancelled
87,425,2025-09-10 18:16:47.908622,Shipped
88,972,2025-11-12 10:03:43.638247,Shipped
89,360,2026-01-10 15:42:09.378963,Shipped
90,436,2025-09-29 03:29:48.248253,Shipped
91,869,2026-03-31 08:38:06.950694,Delivered
92,245,2026-05-02 23:33:30.084198,Delivered
93,885,2026-08-02 06:39:27.846801,Cancelled
94,765,2025-09-06 19:41:29.072677,Cancelled
95,230,2025-10-29 10:31:01.370684,Shipped
96,563,2026-04-02 06:37:07.025411,Delivered
97,992,2025-09-29 11:56:10.649297,Shipped
98,54,2025-08-16 07:15:02.053065,Processing
99,387,2026-04-04 01:09:19.455706,Processing
100,488,2025-09-30 23:13:08.277882,Cancelled
101,124,2025-11-05 06:57:45.498626,Delivered
102,927,2025-09-19 12:53:07.749715,Shipped
103,978,2025-11-11 06:19:58.317379,Shipped
104,898,2026-07-27 07:40:11.809102,Cancelled
105,4,2026-03-21 08:43:33.999854,Processing
106,402,2026-07-17 22:24:25.284679,Shipped
107,485,2026-03-23 12:28:46.254018,Delivered
108,947,2025-09-05 16:41:56.336188,Processing
109,333,2025-09-16 06:12:34.788306,Shipped
110,241,2025-10-30 22:48:24.394881,Delivered
111,450,2025-11-10 13:57:51.991565,Delivered
112,158,2026-07-14 05:52:43.616574,Delivered
113,74,2025-12-09 05:58:09.007671,Cancelled
114,856,2026-03-26 19:50:45.646751,Delivered
115,261,2025-08-07 05:40:09.985947,Cancelled
116,727,2026-04-28 06:52:48.308435,Cancelled
117,549,2025-08-13 03:45:45.920138,Cancelled
118,892,2026-06-22 19:30:21.895058,Shipped
119,346,2026-06-20 19:05:00.840325,Shipped
120,494,2026-07-09 09:53:45.931032,Delivered
121,999,2026-02-04 21:32:36.361615,Processing
122,520,2026-05-21 00:54:56.879364,Shipped
123,398,2026-01-01 05:35:32.965782,Delivered
124,286,2025-10-21 09:12:13.996314,Shipped
125,509,2026-06-17 03:40:47.070218,Shipped
126,715,2026-06-26 13:08:20.553150,Shipped
127,47,2026-02-12 09:15:58.845040,Cancelled
128,467,2025-12-25 02:18:02.248367,Shipped
129,793,2025-10-08 05:42:14.411858,Cancelled
130,36,2026-07-08 03:11:28.057701,Shipped
131,971,2025-11-26 17:08:44.062795,Delivered
132,548,2026-02-09 08:34:47.321012,Cancelled
133,409,2025-08-09 01:37:39.383677,Shipped
134,467,2025-08-02 10:07:52.023142,Processing
135,477,2026-05-27 14:28:24.328405,Processing
136,449,2025-12-08 17:02:26.200748,Processing
137,182,2026-01-07 12:28:32.083854,Delivered
138,704,2026-04-23 15:03:37.416041,Delivered
139,711,2026-06-03 21:55:00.672628,Shipped
140,271,2026-05-13 09:38:19.267943,Delivered
141,964,2025-11-30 10:34:21.027700,Processing
142,422,2026-04-25 08:45:43.846142,Cancelled
143,926,2025-11-15 19:01:06.007056,Processing
144,397,2026-03-10 14:01:53.023989,Cancelled
145,403,2026-04-02 19:41:35.271213,Shipped
146,812,2025-09-24 06:39:29.302109,Delivered
147,969,2026-07-04 18:28:25.385900,Delivered
148,424,2025-12-17 09:35:29.975852,Delivered
149,881,2025-09-19 18:27:21.821173,Shipped
150,934,2026-01-26 05:55:11.261878,Cancelled
151,224,2025-08-13 08:38:30.818268,Delivered
152,883,2026-01-07 04:36:10.392941,Processing
153,705,2025-10-09 09:59:52.040132,Shipped
154,281,2025-09-23 15:28:51.100701,Delivered
155,300,2026-01-14 03:01:10.219172,Delivered
156,666,2025-12-19 14:16:17.109128,Processing
157,985,2025-08-05 08:28:10.283076,Delivered
158,669,2026-06-04 09:39:48.658726,Shipped
159,456,2026-07-30 03:43:29.755645,Cancelled
160,330,2025-11-08 04:46:47.143584,Shipped
161,237,2025-08-28 09:46:46.794938,Delivered
162,244,2026-05-22 20:08:26.108509,Shipped
163,395,2026-01-14 17:16:43.246240,Cancelled
164,170,2025-11-15 20:30:47.886981,Shipped
165,505,2026-04-04 02:51:35.246863,Processing
166,388,2026-06-03 13:58:29.148550,Shipped
167,364,2026-05-25 22:53:29.217250,Shipped
168,901,2025-10-29 00:06:11.781728,Shipped
169,448,2026-05-06 00:48:08.255983,Cancelled
170,355,2025-08-05 22:47:42.061276,Cancelled
171,422,2026-02-23 16:11:29.258174,Delivered
172,852,2026-06-25 03:25:47.682293,Delivered
173,528,2026-07-25 22:53:33.086817,Processing
174,967,2026-05-12 21:21:55.443395,Shipped
175,858,2026-01-24 16:10:15.942074,Delivered
176,262,2025-09-06 08:30:43.061964,Delivered
177,885,2025-12-12 00:49:22.897402,Processing
178,916,2025-09-23 19:06:07.774239,Delivered
179,279,2026-07-01 20:49:34.208689,Delivered
180,841,2026-01-21 14:16:09.649926,Cancelled
181,118,2026-02-04 10:37:37.258070,Cancelled
182,11,2026-04-25 16:09:47.805019,Delivered
183,493,2026-04-12 18:50:54.473296,Shipped
184,218,2026-03-16 16:10:19.939506,Cancelled
185,171,2026-03-05 16:55:32.110760,Cancelled
186,86,2025-08-20 08:02:46.600578,Shipped
187,891,2026-01-28 14:11:16.081467,Delivered
188,608,2026-07-07 21:22:55.174867,Cancelled
189,819,2026-06-07 11:15:05.623381,Shipped
190,184,2025-10-22 22:00:29.674639,Cancelled
191,963,2026-05-31 22:28:27.965715,Delivered
192,354,2026-07-01 13:32:54.609818,Cancelled
193,75,2025-08-18 20:33:46.452051,Shipped
194,103,2026-06-17 14:09:40.071202,Delivered
195,206,2025-08-25 19:40:04.227751,Shipped
196,171,2025-10-17 17:55:57.452901,Delivered
197,550,2026-07-17 06:29:08.370870,Cancelled
198,55,2026-05-24 19:02:23.767486,Shipped
199,109,2026-01-31 08:35:06.421625,Shipped
200,766,2025-09-17 06:31:02.760562,Processing
201,670,2026-04-28 16:17:15.280894,Processing
202,938,2025-10-28 15:40:42.700146,Processing
203,938,2026-04-25 18:05:45.324037,Processing
204,19,2025-10-21 02:36:53.406575,Shipped
205,543,2025-09-16 00:54:06.831757,Processing
206,84,2026-04-26 07:53:58.010075,Delivered
207,970,2026-05-20 13:04:34.349344,Cancelled
208,415,2025-08-23 01:18:36.628713,Cancelled
209,862,2025-12-31 14:46:52.851604,Delivered
210,646,2026-07-09 11:48:23.792793,Shipped
211,151,2026-07-13 19:40:29.448453,Processing
212,574,2025-11-05 06:38:48.087184,Delivered
213,15,2026-06-11 11:28:05.686253,Delivered
214,73,2026-06-08 13:47:45.115628,Cancelled
215,67,2026-04-24 16:59:46.544455,Shipped
216,45,2025-08-23 18:34:37.289725,Shipped
217,955,2026-05-27 02:22:59.718391,Processing
218,419,2026-04-09 05:48:38.447125,Cancelled
219,564,2026-02-05 21:37:54.311023,Processing
220,436,2025-11-14 19:56:00.586668,Shipped
221,738,2026-05-08 06:03:03.862331,Delivered
