2026-07-30 01:41:13,685 | INFO | ============================================================
2026-07-30 01:41:13,685 | INFO | Retail ETL Pipeline Started
2026-07-30 01:41:13,685 | INFO | ============================================================
2026-07-30 01:41:13,685 | INFO | Reading data/raw/customers.csv
2026-07-30 01:41:13,691 | INFO | Validating dataset
2026-07-30 01:41:13,691 | INFO | Removing duplicates
2026-07-30 01:41:13,694 | INFO | Replacing null values
2026-07-30 01:41:13,695 | INFO | 1000 rows processed
2026-07-30 01:41:13,695 | INFO | Pipeline completed
2026-07-30 01:45:08,807 | INFO | ============================================================
2026-07-30 01:45:08,807 | INFO | Starting ETL Pipeline for categories.csv
2026-07-30 01:45:08,807 | INFO | ============================================================
2026-07-30 01:45:08,807 | INFO | Reading data/raw/categories.csv
2026-07-30 01:45:08,808 | INFO | Validating dataset
2026-07-30 01:45:08,808 | INFO | Removing duplicates
2026-07-30 01:45:08,810 | INFO | Replacing null values
2026-07-30 01:45:08,810 | INFO | Processing 10 records
2026-07-30 01:45:08,983 | INFO | categories.csv loaded successfully!
2026-07-30 01:45:08,983 | INFO | ============================================================
2026-07-30 01:45:08,983 | INFO | ============================================================
2026-07-30 01:45:08,983 | INFO | Starting ETL Pipeline for suppliers.csv
2026-07-30 01:45:08,983 | INFO | ============================================================
2026-07-30 01:45:08,983 | INFO | Reading data/raw/suppliers.csv
2026-07-30 01:45:08,984 | INFO | Validating dataset
2026-07-30 01:45:08,984 | INFO | Removing duplicates
2026-07-30 01:45:08,984 | INFO | Replacing null values
2026-07-30 01:45:08,984 | INFO | Processing 200 records
2026-07-30 01:45:09,000 | INFO | suppliers.csv loaded successfully!
2026-07-30 01:45:09,000 | INFO | ============================================================
2026-07-30 01:45:09,000 | INFO | ============================================================
2026-07-30 01:45:09,000 | INFO | Starting ETL Pipeline for stores.csv
2026-07-30 01:45:09,000 | INFO | ============================================================
2026-07-30 01:45:09,001 | INFO | Reading data/raw/stores.csv
2026-07-30 01:45:09,001 | INFO | Validating dataset
2026-07-30 01:45:09,001 | INFO | Removing duplicates
2026-07-30 01:45:09,001 | INFO | Replacing null values
2026-07-30 01:45:09,002 | INFO | Processing 10 records
2026-07-30 01:45:09,004 | INFO | stores.csv loaded successfully!
2026-07-30 01:45:09,004 | INFO | ============================================================
2026-07-30 01:45:09,004 | INFO | ============================================================
